1,Laura,Ana,500.0,1,2025-03-01,2025-04-01,1,25.0,525.0
1,Laura,Ana,20.0,1,2025-04-01,2025-03-01,1,1.0,21.0
1,Laura,eric,20.0,1,2025-03-02,2025-03-02,2,1.0,21.0
1,Laura,eric,1.0,1,2025-03-02,2025-05-02,3,0.05,1.05
1,Danilo,eric,500.0,1,2025-03-18,2025-03-18,18,25.0,525.0
1,Danilo,eric,500.0,3,2025-03-07,2027-03-07,7,25.0,525.0
1,Joao,eric,20000.0,2,2025-03-07,2025-04-07,7,1000.0,21000.0
1,Danilo,Andrey ,100000.0,1,2025-03-08,2025-03-08,8,5000.0,105000.0
1,Danilo,Andrey ,5000.0,2,2025-03-08,2025-04-08,8,250.0,5250.0
1,Danilo,Andrey ,7000.0,1,2025-03-08,2025-03-08,8,350.0,7350.0
2,Joao,eric,10.0,2,2025-03-08,2025-04-08,8,0.5,10.5
1,Jenifer Cavalcanti,Rinaldo,500.0,1,2025-03-08,2025-03-08,8,25.0,525.0
1,Danilo,Rinaldo,500.0,1,2025-03-08,2025-03-08,8,25.0,525.0
2,Jenifer Cavalcanti,Ana,500.0,1,2025-03-08,2025-03-08,8,25.0,525.0
3,Jenifer Cavalcanti,Rinaldo,500.0,1,2025-03-08,2025-03-08,8,25.0,525.0
1,Danilo,Andrey ,500.0,1,2025-03-08,2025-03-08,8,25.0,525.0
1,Jenifer Cavalcanti,Rinaldo,500.0,0,2025-03-08,2025-03-08,8,25.0,525.0
1,Danilo,Andrey ,1000.0,1,2025-03-08,2025-03-15,8,50.0,1050.0
1,Danilo,Rinaldo,500.0,2,2025-03-15,2025-04-15,15,25.0,525.0
1,Jenifer Cavalcanti,jennifer,500.0,1,2025-03-08,2025-03-08,8,25.0,525.0
1,Jenifer Cavalcanti,Andrey ,500.0,1,2025-03-08,2025-03-08,8,25.0,525.0,525.0
1,Danilo,Andrey ,1000.0,1,2025-03-09,2025-03-09,9,50.0,1050.0,1050.0
1,Jenifer Cavalcanti,Andrey ,100.0,1,2025-03-09,2025-03-09,9,5.0,105.0,105.0
1,Danilo,jennifer,500.0,1,2025-03-10,2025-03-10,10,25.0,525.0,525.0
1,Danilo,jennifer,50.0,1,2025-03-10,2025-03-10,10,2.5,52.5,52.5
2,Jenifer Cavalcanti,Andrey ,500.0,1,2025-03-09,2025-03-10,9,25.0,525.0,525.0
1,Jenifer Cavalcanti,jennifer,100.0,1,2025-03-09,2025-03-09,9,5.0,105.0,105.0
1,Danilo,jennifer,200.0,2,2025-03-09,2025-04-09,9,10.0,210.0,105.0
1,Jenifer Cavalcanti,jennifer,200.0,3,2025-03-15,2025-04-15,15,10.0,210.0,70.0
1,Danilo,Ana,100.0,1,2025-03-01,2025-03-01,1,5.0,105.0,105.0
2,Jenifer Cavalcanti,Ana,100.0,2,2025-03-10,2025-04-10,10,5.0,105.0,52.5
3,Jenifer Cavalcanti,Ana,100.0,1,2025-03-10,2025-03-10,10,5.0,105.0,105.0
4,Jenifer Cavalcanti,eric,500.0,2,2025-03-18,2025-04-18,18,25.0,525.0,262.5
1,Jenifer Cavalcanti,Rinaldo,100.0,1,2025-03-02,2025-03-02,2,5.0,105.0,105.0
1,Danilo,jennifer,100.0,2,2025-03-12,2025-04-12,12,5.0,105.0,52.5
2,Danilo,Andrey ,20000.0,5,2025-04-12,2025-08-12,12,1000.0,21000.0,4200.0
3,Jenifer Cavalcanti,Andrey ,1000.0,2,2025-03-12,2025-04-12,12,50.0,1050.0,525.0
4,Danilo,Rinaldo,21055.0,1,2025-04-12,2025-04-12,12,1052.75,22107.75,22107.75
5,Danilo,Andrey ,1000.0,1,2025-03-10,2025-03-10,10,50.0,1050.0,1050.0
1,Danilo,Rinaldo,500.0,5,2025-03-10,2025-07-10,10,25.0,525.0,105.0
1,Joao,Rinaldo,1000.0,2,2025-03-10,2025-04-10,10,50.0,1050.0,525.0
